Entre la Corona Corina el Corona (Vir..) hasta la coronilla por no decir los Cojones!!,-1
La mascarilla me ha creado una marca morada y verde cerca del ojo y un dolor similar al de un golpe.,-1
Primer positivo de #COVID19ec en mi familia el domingo me quede en la casa mis Pas y hermanas salieron  de paseo con mi tio positivo.........Nos vamos a cuarentena por lo menos 1 semana.,-1
Seguimos en la lucha,1
Somos un experimento del COE,-1
Que nuestra bandera vuelva a flamear en todos los hogares con mucho orgullo. Hoy quiza nuestra batalla no sea por la independencia pero si por la vida y la reactivacion del empleo. No nos dejaremos vencer por el #Covid19ec,1
Nos complace mostrarles lugares turisticos #Tumbaco tierra de diversidad en culturas costumbres y tradiciones. Recorre la parroquia con las debidas medidas de bioseguridad ,1
Ir hacer el delicioso y terminar con gripe e incluso posible sintomas del #Covid19 ,0
Creo que con las mascarillas nos vemos menos feos... #MascarillaObligatoria #Covid19Ec,1
No solo hay ratas en el pais tambien gente estupida ni de creer lo de esta #LadyTos esta de mandarle saluditos cordiales y recomendarle un jarabito libre de alcohol #Covid19Ec,-1
Pesimo servicio de  la senal sigue yendo y viniendo la velocidad brindada no refleja lo q supuestamente se contrato ni lo q ofertan y mas aun ahora q es esencial la fiabilidad del servicio x el q cobran sin demora #yunda ,-1
 que clase de controles hacen en centros comerciales sobre todo en el Centro Comercial el Recreo al sur de Quito aglomeracion por todos lados gente sin mascarilla no se respeta el aforo permitido en emergencia #Covid19Ec,-1
Los que siguen saliendo a gimnasios clandestinos a buscar el #COVID19EC y ponen en riesgo a su familia por “verse saludables”,-1
Lo que hacen por una foto: quitarse la mascarilla olvidar que estan en turno olvidar medidas de Bio Seguridad unoa segundos pueden ser lo necesario para contagio.,-1
El Ministerio de Sanidad de #Rusia anuncio que ha producido la primera partida de la vacuna contra el #COVID19,1
Mas de 33 mil adultos mayores de 60 años murieron de #COVID19  en Mexico. #Coronavirus,-1
Hoy se registraron 88 casos positivos nuevos de #COVID19 los cuales se distribuyen en 38 municipios de #Oaxaca.,-1
¡Estas son las formas de contagio mas comunes y es importante prevenirlas! Al estornudar o toser recuerda cubrirte con la parte interna del codo o con un pañuelo desechable. #PrevencionCoronavirus #COVID19 ,0
Segun los especialistas la vacuna podria garantizar la inmunidad al #COVID19 por un periodo de hasta dos años.,1
#Italia prohibio la entrada a las personas provenientes de #Colombia por la #COVID19,0
#ATENCION | Dos provincias de Ecuador afrontan alta mortalidad por #covid19; ¿ que incide en las muertes? ,-1
